Departure Point,Destination,Fixed Fare,Flight Season,From Day,From Month,From To,Product,Program,To Day,To Month,Transformed To Month,Unique Value
"TLS","US-SDO","20953","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-SDOTLS"
"PAR","GB-MAS","20954","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYGB-MASPAR"
"BOD","IT-ROM","20955","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYIT-ROMBOD"
"MRS","CN-BEJ","20956","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSCN-BEJMRS"
"GVA","GB-MAS","20957","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-MASGVA"
"PAR","DE-BER","20958","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYDE-BERPAR"
"TLS","US-SFM","20959","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-SFMTLS"
"MRS","CN-BEJ","20960","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYCN-BEJMRS"
"PAR","US-SFD","20961","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SFDPAR"
"PAR","ES-MAA","20962","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPES-MAAPAR"
"PAR","US-SFD","20963","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SFDPAR"
"MRS","US-BOE","20964","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-BOEMRS"
"NCE","US-SFM","20965","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-SFMNCE"
"GVA","US-NYC","20966","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-NYCGVA"
"PAR","JP-TYO","20967","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPJP-TYOPAR"
"FRA","JP-TYO","20968","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYJP-TYOFRA"
"MRS","CA-VAN","20969","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPCA-VANMRS"
"MRS","CA-TOO","20970","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPCA-TOOMRS"
"LYS","CA-VAN","20971","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYCA-VANLYS"
"FRA","US-HNL","20972","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-HNLFRA"
"TLS","GB-CAM","20973","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-CAMTLS"
"LYS","IE-DUB","20974","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPIE-DUBLYS"
"LYS","US-CHI","20975","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-CHILYS"
"TLS","GB-CAC","20976","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-CACTLS"
"MRS","GB-MAS","20977","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPGB-MASMRS"
"LYS","GB-CAC","20978","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSGB-CACLYS"
"TLS","US-SEA","20979","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSUS-SEATLS"
"LYS","CA-TOO","20980","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSCA-TOOLYS"
"FRA","US-SFD","20981","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-SFDFRA"
"BOD","US-SFD","20982","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-SFDBOD"
"TLS","CA-VAN","20983","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYCA-VANTLS"
"GVA","ES-BAR","20984","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPES-BARGVA"
"MRS","US-SEA","20985","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-SEAMRS"
"PAR","ES-BAR","20986","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPES-BARPAR"
"PAR","GB-BOU","20987","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPGB-BOUPAR"
"LYS","US-NYT","20988","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-NYTLYS"
"FRA","US-SBA","20989","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-SBAFRA"
"LYS","NZ-AUC","20990","LowSeason1","1.0","3.0","Mar-1 To Dec-31","LSP","ILSP","31.0","12.0","12.0","LSPILSPNZ-AUCLYS"
"TLS","GB-MAS","20991","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPGB-MASTLS"
"LYS","SG-SIM","20992","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPSG-SIMLYS"
"BOD","US-WAS","20993","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-WASBOD"
"FRA","US-CHI","20994","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-CHIFRA"
"GVA","GB-BOU","20995","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPGB-BOUGVA"
"NCE","US-SFM","20996","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-SFMNCE"
"GVA","GB-BRI","20997","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSGB-BRIGVA"
"NTE","US-NYC","20998","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPUS-NYCNTE"
"LYS","GB-EAS","20999","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPGB-EASLYS"
"TLS","GB-OXF","21000","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-OXFTLS"
"NCE","DE-BER","21001","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYDE-BERNCE"
"NCE","US-NYT","21002","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-NYTNCE"
"NCE","US-MIA","21003","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-MIANCE"
"NCE","US-SBA","21004","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-SBANCE"
"GVA","GB-BOU","21005","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-BOUGVA"
"NCE","US-SDC","21006","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SDCNCE"
"TLS","US-NYT","21007","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-NYTTLS"
"NCE","IE-DUB","21008","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSIE-DUBNCE"
"PAR","GB-BST","21009","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPGB-BSTPAR"
"TLS","US-SDO","21010","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-SDOTLS"
"NCE","US-SEA","21011","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-SEANCE"
"NCE","CA-TOO","21012","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPCA-TOONCE"
"NTE","US-LAR","21013","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-LARNTE"
"LYS","US-BOI","21014","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-BOILYS"
"FRA","US-SFD","21015","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-SFDFRA"
"LYS","GB-EAS","21016","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILSH","11.0","12.0","12.0","ILSILSHGB-EASLYS"
"MRS","US-BOI","21017","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-BOIMRS"
"MRS","US-SDC","21018","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-SDCMRS"
"GVA","CA-VAN","21019","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSCA-VANGVA"
"LYS","US-SDC","21020","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SDCLYS"
"BOD","US-SDC","21021","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILSH","31.0","8.0","8.0","ILSILSHUS-SDCBOD"
"TLS","US-SBA","21022","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-SBATLS"
"FRA","US-HNL","21023","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-HNLFRA"
"BOD","US-LAR","21024","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPUS-LARBOD"
"TLS","US-BOI","21025","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPUS-BOITLS"
"PAR","GB-OXF","21026","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-OXFPAR"
"PAR","DE-MUN","21027","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPDE-MUNPAR"
"GVA","AU-BRS","21028","LowSeason1","1.0","3.0","Mar-1 To Dec-31","APP","AY","31.0","12.0","12.0","APPAYAU-BRSGVA"
"NCE","DE-BER","21029","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPDE-BERNCE"
"GVA","GB-BOU","21030","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPGB-BOUGVA"
"MRS","CA-VAN","21031","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPCA-VANMRS"
"TLS","CN-BEJ","21032","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSCN-BEJTLS"
"GVA","GB-BRI","21033","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-BRIGVA"
"MRS","DE-BER","21034","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYDE-BERMRS"
"PAR","GB-OXF","21035","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSGB-OXFPAR"
"NCE","GB-CAE","21036","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-CAENCE"
"FRA","US-SFD","21037","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SFDFRA"
"PAR","IE-DUB","21038","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSIE-DUBPAR"
"TLS","GB-BRI","21039","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSGB-BRITLS"
"NCE","GB-LON","21040","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYGB-LONNCE"
"LYS","CN-BEJ","21041","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPCN-BEJLYS"
"LYS","US-SDC","21042","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SDCLYS"
"PAR","US-SFM","21043","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-SFMPAR"
"NCE","GB-MAS","21044","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPGB-MASNCE"
"NCE","GB-CAC","21045","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-CACNCE"
"PAR","AU-SYD","21046","HighSeason1","1.0","1.0","Jan-1 To Feb-28","ILS","ILS","28.0","2.0","2.0","ILSILSAU-SYDPAR"
"TLS","CA-TOO","21047","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPCA-TOOTLS"
"BOD","US-SDC","21048","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPUS-SDCBOD"
"LYS","US-SDC","21049","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SDCLYS"
"MRS","US-CHI","21050","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-CHIMRS"
"MRS","US-WAS","21051","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-WASMRS"
"MRS","GB-LRS","21052","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-LRSMRS"
"GVA","GB-EAS","21053","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPGB-EASGVA"
"FRA","US-WAS","21054","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILSH","14.0","1.0","13.0","ILSILSHUS-WASFRA"
"LYS","GB-LON","21055","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSGB-LONLYS"
"TLS","DE-MUN","21056","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYDE-MUNTLS"
"GVA","US-SEA","21057","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-SEAGVA"
"LYS","GB-BST","21058","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPGB-BSTLYS"
"NCE","DE-BER","21059","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPDE-BERNCE"
"FRA","US-BOE","21060","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-BOEFRA"
"BOD","GB-BOU","21061","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPGB-BOUBOD"
"NCE","SG-SIN","21062","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPSG-SINNCE"
"BOD","GB-EAS","21063","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILSH","31.0","8.0","8.0","ILSILSHGB-EASBOD"
"TLS","GB-BOU","21064","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-BOUTLS"
"BOD","GB-CAM","21065","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSGB-CAMBOD"
"NCE","GB-CAC","21066","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSGB-CACNCE"
"GVA","GB-MAS","21067","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-MASGVA"
"TLS","GB-BOU","21068","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-BOUTLS"
"TLS","GB-BRI","21069","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-BRITLS"
"FRA","US-SDC","21070","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SDCFRA"
"TLS","US-NYT","21071","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILSH","14.0","1.0","13.0","ILSILSHUS-NYTTLS"
"PAR","US-SDC","21072","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILSH","14.0","1.0","13.0","ILSILSHUS-SDCPAR"
"TLS","US-SFD","21073","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSUS-SFDTLS"
"GVA","CA-TOO","21074","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSCA-TOOGVA"
"TLS","GB-BST","21075","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPGB-BSTTLS"
"LYS","IE-DUB","21076","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPIE-DUBLYS"
"MRS","US-NYT","21077","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-NYTMRS"
"TLS","GB-EAS","21078","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-EASTLS"
"GVA","DE-MUN","21079","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSDE-MUNGVA"
"TLS","US-SFM","21080","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SFMTLS"
"PAR","ZA-CAP","21081","HighSeason1","1.0","1.0","Jan-1 To Feb-28","LSP","ILSP","28.0","2.0","2.0","LSPILSPZA-CAPPAR"
"MRS","US-SBA","21082","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSUS-SBAMRS"
"GVA","IT-ROM","21083","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYIT-ROMGVA"
"GVA","AU-SYD","21084","HighSeason1","1.0","1.0","Jan-1 To Feb-28","LSP","AYP","28.0","2.0","2.0","LSPAYPAU-SYDGVA"
"BOD","US-NYT","21085","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-NYTBOD"
"PAR","MT-SLR","21086","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILSH","14.0","1.0","13.0","ILSILSHMT-SLRPAR"
"BOD","US-NYC","21087","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-NYCBOD"
"BOD","US-SFM","21088","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SFMBOD"
"MRS","CN-BEJ","21089","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPCN-BEJMRS"
"LYS","US-NYC","21090","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-NYCLYS"
"TLS","GB-BRI","21091","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPGB-BRITLS"
"TLS","GB-CAC","21092","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPGB-CACTLS"
"FRA","US-WAS","21093","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-WASFRA"
"MRS","US-LAR","21094","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-LARMRS"
"MRS","SG-SIM","21095","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPSG-SIMMRS"
"GVA","DE-MUN","21096","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYDE-MUNGVA"
"GVA","GB-BRI","21097","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPGB-BRIGVA"
"MRS","SG-SIN","21098","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPSG-SINMRS"
"LYS","SG-SIN","21099","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSSG-SINLYS"
"TLS","US-MIA","21100","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-MIATLS"
"LYS","GB-CAC","21101","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPGB-CACLYS"
"FRA","US-SDO","21102","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-SDOFRA"
"MRS","US-SEA","21103","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-SEAMRS"
"TLS","NZ-AUC","21104","HighSeason1","1.0","1.0","Jan-1 To Feb-28","APP","AY","28.0","2.0","2.0","APPAYNZ-AUCTLS"
"PAR","DE-BER","21105","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSDE-BERPAR"
"GVA","SG-SIM","21106","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYSG-SIMGVA"
"NCE","DE-BER","21107","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILSH","31.0","5.0","5.0","ILSILSHDE-BERNCE"
"MRS","DE-BER","21108","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPDE-BERMRS"
"NTE","US-BOI","21109","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-BOINTE"
"MRS","DE-MUN","21110","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSDE-MUNMRS"
"BOD","US-CHI","21111","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-CHIBOD"
"FRA","US-CHS","21112","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-CHSFRA"
"PAR","US-SFM","21113","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-SFMPAR"
"GVA","CA-VAN","21114","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSCA-VANGVA"
"GVA","US-NYT","21115","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-NYTGVA"
"TLS","SG-SIM","21116","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPSG-SIMTLS"
"MRS","SG-SIN","21117","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPSG-SINMRS"
"GVA","US-SBA","21118","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SBAGVA"
"TLS","US-WAS","21119","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILSH","14.0","1.0","13.0","ILSILSHUS-WASTLS"
"LYS","SG-SIM","21120","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPSG-SIMLYS"
"MRS","US-SDC","21121","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SDCMRS"
"LYS","US-LAR","21122","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-LARLYS"
"BOD","GB-OXF","21123","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYGB-OXFBOD"
"MRS","US-CHS","21124","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPUS-CHSMRS"
"MRS","JP-TYO","21125","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYJP-TYOMRS"
"PAR","SG-SIN","21126","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPSG-SINPAR"
"GVA","JP-TYO","21127","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSJP-TYOGVA"
"LYS","SG-SIM","21128","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPSG-SIMLYS"
"MRS","CN-BEJ","21129","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPCN-BEJMRS"
"NTE","US-LAR","21130","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-LARNTE"
"TLS","IE-DUB","21131","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSIE-DUBTLS"
